GeneSymbol,ChemicalName,Organism,Interaction,InteractionActions,PubMedIDs,ChemicalID
CDKN1B,diallyl trisulfide,Homo sapiens,diallyl trisulfide results in increased expression of CDKN1B protein,increases^expression,14693049,C042577
CDKN1B,Diclofenac,Homo sapiens,Diclofenac affects the expression of CDKN1B mRNA,affects^expression,24752500,D004008
CDKN1B,Digitoxin,Homo sapiens,Digitoxin analog results in decreased expression of CDKN1B protein,decreases^expression,22037315,D004074
CDKN1B,Digitoxin,Homo sapiens,Digitoxin results in decreased expression of CDKN1B protein,decreases^expression,22037315,D004074
CDKN1B,Dihydrotestosterone,Homo sapiens,Dihydrotestosterone inhibits the reaction [[Curcumin co-treated with Quercetin] results in increased expression of CDKN1B protein],affects^cotreatment|decreases^reaction|increases^expression,27132804,D013196
CDKN1B,Dihydrotestosterone,Homo sapiens,Dihydrotestosterone results in decreased expression of CDKN1B mRNA,decreases^expression,26804032,D013196
CDKN1B,Dimethyldithiocarbamate,Homo sapiens,[Gold binds to Dimethyldithiocarbamate] which results in increased expression of CDKN1B protein,affects^binding|increases^expression,17079469,D004125
CDKN1B,di-n-butylphosphoric acid,Homo sapiens,di-n-butylphosphoric acid affects the expression of CDKN1B mRNA,affects^expression,37042841,C065087
CDKN1B,dioscin,Homo sapiens,dioscin results in increased expression of CDKN1B mRNA,increases^expression,33359023,C019357
CDKN1B,dioscin,Homo sapiens,dioscin results in increased expression of CDKN1B protein,increases^expression,33359023,C019357
CDKN1B,Disulfiram,Homo sapiens,[Disulfiram binds to Copper] which results in increased expression of CDKN1B protein,affects^binding|increases^expression,24690739,D004221
CDKN1B,Disulfiram,Homo sapiens,Disulfiram results in increased expression of CDKN1B mRNA,increases^expression,34182011,D004221
CDKN1B,Disulfiram,Homo sapiens,Disulfiram results in increased expression of CDKN1B protein,increases^expression,17079463,D004221
CDKN1B,Doxorubicin,Homo sapiens,CDKN1B results in decreased susceptibility to Doxorubicin,decreases^response to substance,21652059,D004317
CDKN1B,Doxorubicin,Homo sapiens,Doxorubicin affects the expression of CDKN1B mRNA,affects^expression,16705698,D004317
CDKN1B,Doxorubicin,Homo sapiens,Doxorubicin affects the expression of CDKN1B protein,affects^expression,16036217|17893511,D004317
