compound_name,canonical_smiles,molecule_chembl_id,warning_class,warning_type,Total Molweight,Monoisotopic Mass,cLogP,cLogS,H-Acceptors,H-Donors,Total Surface Area,Relative PSA,Polar Surface Area,Druglikeness,Shape Index,Molecular Flexibility,Molecular Complexity,Fragments,Non-H Atoms,Non-C/H Atoms,Metal-Atoms,Electronegative Atoms,Stereo Centers,Rotatable Bonds,Rings Closures,Aromatic Atoms,sp3-Atoms,Symmetric atoms,Small Rings,Carbo-Rings,Hetero-Rings,Saturated Rings,Non-Aromatic Rings,Aromatic Rings,Saturated Carbo-Rings,Non-Aromatic Carbo-Rings,Carbo-Aromatic Rings,Saturated Hetero-Rings,Non-Aromatic Hetero-Rings,Hetero-Aromatic Rings,Amides,Amines,Alkyl-Amines,Aromatic Amines,Aromatic Nitrogens,Basic Nitrogens,Acidic Oxygens,Senotherapeutic,DataSet,Senotherapeutic
MEDIFOXAMINE,CN(C)CC(Oc1ccccc1)Oc1ccccc1,CHEMBL85231,hepatotoxicity,Withdrawn,257.332,257.141579,2.5271,-2.328,3,0,214.1,0.11,21.7,1.923,0.57895,0.41458,0.56169,1,19,3,0,3,0,6,2,12,7,10,2,2,0,0,0,2,0,0,2,0,0,0,0,1,1,0,0,1,0,0,NoSenotherapeutic,0
IBUFENAC,CC(C)Cc1ccc(CC(=O)O)cc1,CHEMBL341812,hepatotoxicity,Withdrawn,192.257,192.11503,2.575,-2.527,2,1,161.9,0.16146,37.3,-1.5706,0.71429,0.66584,0.51193,1,14,2,0,2,0,4,1,6,6,3,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,NoSenotherapeutic,0
PHENACETIN,CCOc1ccc(NC(C)=O)cc1,CHEMBL16073,hepatotoxicity,Withdrawn,179.218,179.094629,1.6996,-2.276,3,1,150.75,0.22886,38.33,-1.0225,0.76923,0.46547,0.56122,1,13,3,0,3,0,3,1,6,4,2,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,NoSenotherapeutic,0
PHENOXYPROPAZINE,CC(COc1ccccc1)NN,CHEMBL1909286,hepatotoxicity,Withdrawn,166.223,166.110613,0.2666,-2.158,3,2,141.76,0.2591,47.28,-2.9037,0.75,0.591,0.4621,1,12,3,0,3,1,4,1,6,6,2,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NoSenotherapeutic,0
XIMELAGATRAN,CCOC(=O)CN[C@@H](C(=O)N1CC[C@H]1C(=O)NCc1ccc(/C(N)=N\O)cc1)C1CCCCC1,CHEMBL522038,hepatotoxicity,Withdrawn,473.572,473.26382,1.1936,-3.529,10,4,367.93,0.31384,146.35,-3.3946,0.58824,0.58059,0.81719,1,34,10,0,10,2,11,3,6,17,4,3,2,1,2,2,1,1,1,1,1,1,0,2,1,1,0,0,1,0,0,NoSenotherapeutic,0
GENTIAN VIOLET,CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccc(N(C)C)cc2)cc1.[Cl-],CHEMBL64894,carcinogenicity,Withdrawn,407.987,372.243972,0.6992,-3.473,3,0,302.61,0.0062787,9.49,-10.07,0.46429,0.44797,0.75973,2,28,3,0,3,0,4,3,12,6,15,3,3,0,0,1,2,0,1,2,0,0,0,0,2,0,2,0,0,0,0,NoSenotherapeutic,0
CARBARIL,CNC(=O)Oc1cccc2ccccc12,CHEMBL46917,carcinogenicity,Withdrawn,201.224,201.078979,2.5697,-3.701,3,1,159.33,0.21653,38.33,-3.09,0.6,0.048625,0.64441,1,15,3,0,3,0,2,2,10,2,0,2,2,0,0,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,NoSenotherapeutic,0
INDOPROFEN,CC(C(=O)O)c1ccc(N2Cc3ccccc3C2=O)cc1,CHEMBL15870,carcinogenicity,Withdrawn,281.31,281.105194,2.2291,-3.687,4,1,210.19,0.20329,57.61,3.7067,0.57143,0.44387,0.77499,1,21,4,0,4,1,3,3,12,4,2,3,2,1,0,1,2,0,0,2,0,1,0,1,0,0,0,0,0,1,0,NoSenotherapeutic,0
PHENOLPHTHALEIN,O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21,CHEMBL63857,carcinogenicity,Withdrawn,318.327,318.08921,3.5382,-3.06,4,2,230.14,0.21396,66.76,-1.2682,0.45833,0.33443,0.81766,1,24,4,0,4,0,2,4,18,4,9,4,3,1,0,1,3,0,0,3,0,1,0,0,0,0,0,0,0,0,0,NoSenotherapeutic,0
CANRENONE,C[C@]12CCC(=O)C=C1C=C[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@@]21CCC(=O)O1,CHEMBL1463345,carcinogenicity,Withdrawn,340.461,340.203845,3.3562,-4.438,3,0,246.04,0.14664,43.37,-2.9132,0.52,0.15396,0.98567,1,25,3,0,3,6,0,5,0,17,0,5,4,1,3,5,0,2,4,0,1,1,0,0,0,0,0,0,0,0,0,NoSenotherapeutic,0
PHENOTHRIN,CC(C)=CC1C(C(=O)OCc2cccc(Oc3ccccc3)c2)C1(C)C,CHEMBL1322884,carcinogenicity,Withdrawn,350.456,350.188195,5.3937,-5.656,3,0,280.19,0.11792,35.53,-0.023795,0.61538,0.55486,0.73864,1,26,3,0,3,2,7,3,12,10,4,3,3,0,1,1,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,NoSenotherapeutic,0
