Name,SMILES,Interacts with,Interaction,InteractionActions,Total Molweight,Molweight,Monoisotopic Mass,cLogP,cLogS,H-Acceptors,H-Donors,Total Surface Area,Relative PSA,Polar Surface Area,Druglikeness,Mutagenic,Tumorigenic,Reproductive Effective,Irritant,Shape Index,Molecular Flexibility,Molecular Complexity,Fragments,Non-H Atoms,Non-C/H Atoms,Metal-Atoms,Electronegative Atoms,Stereo Centers,Rotatable Bonds,Rings Closures,Aromatic Atoms,sp3-Atoms,Small Rings,Carbo-Rings,Hetero-Rings,Saturated Rings,Non-Aromatic Rings,Aromatic Rings,Saturated Carbo-Rings,Non-Aromatic Carbo-Rings,Carbo-Aromatic Rings,Saturated Hetero-Rings,Non-Aromatic Hetero-Rings,Hetero-Aromatic Rings,Amides,Amines,Alkyl-Amines,Aromatic Amines,Aromatic Nitrogens,Basic Nitrogens,Acidic Oxygens
Prodigiosin,CCCCCC1=C(NC(=C1)C=C2C(=CC(=N2)C3=CC=CN3)OC)C,JUN,"2-(2-chloro-4-iodophenylamino)-N-cyclopropylmethoxy-3,4-difluorobenzamide inhibits the reaction [Prodigiosin results in increased expression of and results in increased phosphorylation of JUN protein]",decreases^reaction|increases^expression|increases^phosphorylation,323.439,323.439,323.199762,3.7106,-4.328,4,2,272.87,0.18137,53.17,-8.1556,none,none,none,none,0.625,0.32374,0.8227,1,24,4,0,4,0,7,3,10,8,3,0,3,0,1,2,0,0,0,0,1,2,0,0,0,0,2,1,0
11-nor-delta(9)-tetrahydrocannabinol-9-carboxylic acid,CCCCCC1=CC(=C2C3C=C(CCC3C(OC2=C1)(C)C)C(=O)O)O,JUN,[Cannabinoids results in increased abundance of 11-nor-delta(9)-tetrahydrocannabinol-9-carboxylic acid] which affects the methylation of JUN gene,affects^methylation|increases^abundance,344.449,344.449,344.19876,4.8547,-4.282,4,2,266.17,0.18499,66.76,-11.673,none,none,none,none,0.56,0.3894,0.8878,1,25,4,0,4,2,5,3,6,15,3,2,1,0,2,1,0,1,1,0,1,0,0,0,0,0,0,0,1
CU-CPT22,CCCCCCOC(=O)C1=CC(=O)C(=C2C(=C1)C=C(C(=C2O)O)OC)O,IL6,CU-CPT22 inhibits the reaction [tributyltin results in increased expression of IL6 protein],decreases^reaction|increases^expression,362.377,362.377,362.136555,1.8242,-2.765,7,3,274.34,0.31122,113.29,-12.042,low,none,none,high,0.57692,0.40028,0.89773,1,26,7,0,7,0,8,2,0,12,2,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Vemurafenib,CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)C2=CNC3=C2C=C(C=N3)C4=CC=C(C=C4)Cl)F,MYC,(+)-JQ1 compound promotes the reaction [Vemurafenib results in decreased expression of MYC protein],decreases^expression|increases^reaction,489.929,489.929,489.072545,4.5779,-9.33,6,2,341.4,0.22859,100.3,-1.1096,high,none,none,none,0.54545,0.39436,0.91691,1,33,10,0,10,0,6,4,21,4,4,2,2,0,0,4,0,0,2,0,0,2,1,0,0,0,2,0,0
"5-amino-7-(cyclohexylamino)-1-ethyl-6-fluoro-4-oxo-1,4-dihydroquinoline-3-carboxylic acid",CCN1C=C(C(=O)C2=C1C=C(C(=C2N)F)NC3CCCCC3)C(=O)O,FOXO1,"5-amino-7-(cyclohexylamino)-1-ethyl-6-fluoro-4-oxo-1,4-dihydroquinoline-3-carboxylic acid inhibits the reaction [Dexamethasone results in increased expression of FOXO1 protein]",decreases^reaction|increases^expression,347.389,347.389,347.16452,1.4135,-4.599,6,3,256.77,0.27051,95.66,-4.4718,none,none,none,none,0.52,0.30755,0.91432,1,25,7,0,7,0,4,3,6,9,3,2,1,1,2,1,1,1,1,0,1,0,0,2,0,2,0,0,1
GSK690693,CCN1C2=C(C(=NC=C2OCC3CCCNC3)C#CC(C)(C)O)N=C1C4=NON=C4N,AKT1,GSK690693 inhibits the reaction [4-(N-methyl-N-nitrosamino)-1-(3-pyridyl)-1-butanone results in increased phosphorylation of AKT1 protein],decreases^reaction|increases^phosphorylation,425.491,425.491,425.217538,1.8279,-3.299,10,3,336.43,0.3409,137.14,-1.9228,none,none,none,none,0.45161,0.31161,0.93668,1,31,10,0,10,1,6,4,14,14,4,0,4,1,1,3,0,0,0,1,1,3,0,2,1,1,5,2,0
ABBV-744,CCNC(=O)C1=CC2=C(N1)C(=O)N(C=C2C3=C(C=CC(=C3)C(C)(C)O)OC4=C(C=C(C=C4C)F)C)C,CDK2,ABBV-744 results in decreased expression of CDK2 protein,decreases^expression,491.561,491.561,491.222035,4.0266,-6.445,7,3,371.25,0.21059,94.66,2.8246,none,none,none,none,0.44444,0.41932,0.96888,1,36,8,0,8,0,6,4,17,10,4,2,2,0,1,3,0,0,2,0,1,1,2,0,0,0,1,0,0
GLX351322,CCOC(=O)C1=C(SC2=C1CCC2)NC(=O)CN3CCN(CC3)C(=O)C4=CC=CO4,MAPK3,GLX351322 inhibits the reaction [Amsacrine results in decreased phosphorylation of MAPK3 protein],decreases^phosphorylation|decreases^reaction,431.512,431.512,431.151492,2.6147,-3.207,8,1,323.06,0.3162,120.33,3.0011,none,none,none,none,0.56667,0.41977,0.88197,1,30,9,0,9,0,7,4,10,12,4,1,3,1,2,2,0,1,0,1,1,2,2,1,1,0,0,1,0
resiquimod,CCOCC1=NC2=C(N1CC(C)(C)O)C3=CC=CC=C3N=C2N,IL6,2-((aminocarbonyl)amino)-5-(4-fluorophenyl)-3-thiophenecarboxamide inhibits the reaction [resiquimod results in increased expression of IL6 protein],decreases^reaction|increases^expression,314.388,314.388,314.174276,1.5777,-2.378,6,2,242.52,0.27701,86.19,-0.5783,high,none,none,none,0.47826,0.35384,0.89853,1,23,6,0,6,0,5,3,13,9,3,1,2,0,0,3,0,0,1,0,0,2,0,1,0,1,3,2,0
mivebresib,CCS(=O)(=O)NC1=CC(=C(C=C1)OC2=C(C=C(C=C2)F)F)C3=CN(C(=O)C4=C3C=CN4)C,MYC,[A-1210477 co-treated with mivebresib] results in decreased expression of MYC protein,affects^cotreatment|decreases^expression,459.472,459.472,459.106433,2.8103,-6.692,7,2,322.63,0.24988,99.88,3.2978,high,none,none,none,0.4375,0.42106,0.92918,1,32,10,0,10,0,5,4,17,5,4,2,2,0,1,3,0,0,2,0,1,1,2,0,0,0,1,0,0
Minocycline,CN(C)C1C2CC3CC4=C(C=CC(=C4C(=C3C(=O)C2(C(=C(C1=O)C(=O)N)O)O)O)O)N(C)C,JUN,Minocycline results in decreased phosphorylation of and results in decreased activity of and results in decreased expression of JUN protein,decreases^activity|decreases^expression|decreases^phosphorylation,457.481,457.481,457.184902,-1.0304,-1.435,10,5,310.84,0.36639,164.63,4.9434,none,none,high,none,0.39394,0.34383,1.049,1,33,10,0,10,4,3,4,6,16,4,4,0,1,3,1,1,3,1,0,0,0,1,2,1,1,0,1,0
