GeneSymbol,ChemicalName,Organism,Interaction,InteractionActions,PubMedIDs,ChemicalID,SMILES
MAPK1,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one,Homo sapiens,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one inhibits the reaction [Oxidopamine results in increased phosphorylation of MAPK1 protein],decreases^reaction|increases^phosphorylation,33486071,C093973,COC1=CC=CC(=C1N)C2=CC(=O)C3=CC=CC=C3O2
MAPK1,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one,Homo sapiens,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one inhibits the reaction [Particulate Matter affects the localization of MAPK1 protein modified form],affects^localization|decreases^reaction,19337515,C093973,COC1=CC=CC(=C1N)C2=CC(=O)C3=CC=CC=C3O2
MAPK1,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one,Homo sapiens,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one inhibits the reaction [Phosphates results in increased phosphorylation of MAPK1 protein],decreases^reaction|increases^phosphorylation,16763222,C093973,COC1=CC=CC(=C1N)C2=CC(=O)C3=CC=CC=C3O2
MAPK1,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one,Homo sapiens,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one inhibits the reaction [Phytic Acid inhibits the reaction [Glucose results in increased phosphorylation of MAPK1 protein]],decreases^reaction|increases^phosphorylation,38000455,C093973,COC1=CC=CC(=C1N)C2=CC(=O)C3=CC=CC=C3O2
MAPK1,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one,Homo sapiens,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one inhibits the reaction [Plant Extracts results in increased phosphorylation of MAPK1 protein],decreases^reaction|increases^phosphorylation,21297082,C093973,COC1=CC=CC(=C1N)C2=CC(=O)C3=CC=CC=C3O2
MAPK1,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one,Homo sapiens,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one inhibits the reaction [Polymyxin B results in increased phosphorylation of and results in increased activity of MAPK1 protein],decreases^reaction|increases^activity|increases^phosphorylation,15671028,C093973,COC1=CC=CC(=C1N)C2=CC(=O)C3=CC=CC=C3O2
MAPK1,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one,Homo sapiens,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one inhibits the reaction [potassium chromate(VI) results in increased phosphorylation of MAPK1 protein],decreases^reaction|increases^phosphorylation,10910949,C093973,COC1=CC=CC(=C1N)C2=CC(=O)C3=CC=CC=C3O2
MAPK1,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one,Homo sapiens,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one inhibits the reaction [pterostilbene results in increased phosphorylation of MAPK1 protein],decreases^reaction|increases^phosphorylation,26138072,C093973,COC1=CC=CC(=C1N)C2=CC(=O)C3=CC=CC=C3O2
MAPK1,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one,Homo sapiens,"2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one inhibits the reaction [Pt(O,O'-acac)(gamma-acac)(DMS) results in increased phosphorylation of MAPK1 protein]",decreases^reaction|increases^phosphorylation,21420390,C093973,COC1=CC=CC(=C1N)C2=CC(=O)C3=CC=CC=C3O2
MAPK1,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one,Homo sapiens,"[2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one inhibits the reaction [Pt(O,O'-acac)(gamma-acac)(DMS) results in increased phosphorylation of MAPK1 protein]] which results in decreased susceptibility to Pt(O,O'-acac)(gamma-acac)(DMS)",decreases^reaction|decreases^response to substance|increases^phosphorylation,21420390,C093973,COC1=CC=CC(=C1N)C2=CC(=O)C3=CC=CC=C3O2
MAPK1,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one,Homo sapiens,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one inhibits the reaction [puag-haad results in increased phosphorylation of MAPK1 protein],decreases^reaction|increases^phosphorylation,26102008,C093973,COC1=CC=CC(=C1N)C2=CC(=O)C3=CC=CC=C3O2
MAPK1,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one,Homo sapiens,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one inhibits the reaction [Quercetin results in increased expression of MAPK1 protein modified form],decreases^reaction|increases^expression,24102669,C093973,COC1=CC=CC(=C1N)C2=CC(=O)C3=CC=CC=C3O2
MAPK1,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one,Homo sapiens,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one inhibits the reaction [Quercetin results in increased phosphorylation of MAPK1 protein],decreases^reaction|increases^phosphorylation,14688022|18377872|21165570,C093973,COC1=CC=CC(=C1N)C2=CC(=O)C3=CC=CC=C3O2
MAPK1,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one,Homo sapiens,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one inhibits the reaction [quinone results in increased phosphorylation of and results in increased activity of MAPK1 protein],decreases^reaction|increases^activity|increases^phosphorylation,15795063,C093973,COC1=CC=CC(=C1N)C2=CC(=O)C3=CC=CC=C3O2
MAPK1,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one,Homo sapiens,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one inhibits the reaction [Resveratrol affects the localization of MAPK1 protein],affects^localization|decreases^reaction,18446786,C093973,COC1=CC=CC(=C1N)C2=CC(=O)C3=CC=CC=C3O2
MAPK1,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one,Homo sapiens,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one inhibits the reaction [Resveratrol results in increased activity of MAPK1 protein],decreases^reaction|increases^activity,18446786,C093973,COC1=CC=CC(=C1N)C2=CC(=O)C3=CC=CC=C3O2
MAPK1,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one,Homo sapiens,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one inhibits the reaction [Resveratrol results in increased expression of MAPK1 protein modified form],decreases^reaction|increases^expression,18446786,C093973,COC1=CC=CC(=C1N)C2=CC(=O)C3=CC=CC=C3O2
MAPK1,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one,Homo sapiens,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one inhibits the reaction [Resveratrol results in increased phosphorylation of and results in increased activity of MAPK1 protein],decreases^reaction|increases^activity|increases^phosphorylation,17689939|20082299|20696143,C093973,COC1=CC=CC(=C1N)C2=CC(=O)C3=CC=CC=C3O2
MAPK1,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one,Homo sapiens,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one inhibits the reaction [Resveratrol results in increased phosphorylation of and results in increased localization of and results in increased activity of MAPK1 protein],decreases^reaction|increases^activity|increases^localization|increases^phosphorylation,11889192,C093973,COC1=CC=CC(=C1N)C2=CC(=O)C3=CC=CC=C3O2
MAPK1,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one,Homo sapiens,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one inhibits the reaction [Resveratrol results in increased phosphorylation of MAPK1 protein],decreases^reaction|increases^phosphorylation,16814113|17554206|29242151,C093973,COC1=CC=CC(=C1N)C2=CC(=O)C3=CC=CC=C3O2
MAPK1,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one,Homo sapiens,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one inhibits the reaction [sanguinarine results in increased phosphorylation of MAPK1 protein],decreases^reaction|increases^phosphorylation,19135517,C093973,COC1=CC=CC(=C1N)C2=CC(=O)C3=CC=CC=C3O2
