Name,SMILES,Total Molweight,cLogP,H-Acceptors,H-Donors,Total Surface Area,Relative PSA,Rotatable Bonds,Senotherapeutics:,Leadlikeness
"5,7,3'-trihydroxy-3,4'-dimethoxyflavone",COC1=C(C=C(C=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC)O,330.291,2.1938,7,3,233.76,0.35224,3,1,True
"5,7-dihydroxy-2-methyl-8-(4-(3-hydroxy-1-methyl)-piperidinyl)-4H-1-benzopyran-4-one",CC1=CC(=O)C2=C(O1)C(=C(C=C2O)O)C3CCN(CC3O)C,305.329,1.6169,6,3,218.87,0.30105,1,1,True
"5,7-dihydroxy-3-(3-hydroxy-4-methoxybenzyl)-6-methoxychroman-4-one",COC1=C(C=C(C=C1)CC2COC3=C(C2=O)C(=C(C(=C3)O)OC)O)O,346.334,2.2107,7,3,250.86,0.32823,4,1,True
"5,7-dihydroxy-6-methoxy-2-phenylchromen-4-one",COC1=C(C2=C(C=C1O)OC(=CC2=O)C3=CC=CC=C3)O,284.266,2.6114,5,2,206.94,0.28627,2,1,True
"5-((5-fluoro-2-oxo-1,2-dihydro-3H-indol-3-ylidene)methyl)-N-(2-hydroxy-3-morpholin-4-ylpropyl)-2,4-dimethyl-1H-pyrrole-3-carboxamide",CC1=C(NC(=C1C(=O)NCC(CN2CCOCC2)O)C)C=C3C4=C(C=CC(=C4)F)NC3=O,442.489,0.425,8,4,331.3,0.27057,6,1,True
"5-amino-7-(cyclohexylamino)-1-ethyl-6-fluoro-4-oxo-1,4-dihydroquinoline-3-carboxylic acid",CCN1C=C(C(=O)C2=C1C=C(C(=C2N)F)NC3CCCCC3)C(=O)O,347.389,1.4135,6,3,256.77,0.27051,4,1,True
"5-chloro-N2-(1-(5-fluoropyridin-2-yl)ethyl)-N4-(5-isopropoxy-1H-pyrazol-3-yl)pyrimidine-2,4-diamine",CC(C)OC1=NNC(=C1)NC2=NC(=NC=C2Cl)NC(C)C3=NC=C(C=C3)F,391.837,2.7514,8,3,293.86,0.30896,7,1,True
"7,8-diacetoxy-4-methylcoumarin",CC1=CC(=O)OC2=C1C=CC(=C2OC(=O)C)OC(=O)C,276.243,1.549,6,0,204.5,0.338,4,1,True
"7,8-diacetoxy-4-methylthiocoumarin",CC1=CC(=S)OC2=C1C=CC(=C2OC(=O)C)OC(=O)C,292.31,1.7684,5,0,219.46,0.38312,4,1,True
9-methoxycamptothecin,CCC1(C2=C(COC1=O)C(=O)N3CC4=CC5=C(C=CC=C5OC)N=C4C3=C2)O,378.383,1.1138,7,1,262.11,0.28118,2,1,True
